dataset,k,uncertain_setting,candidate_count,positives_in_topk,vulnerable_verdict_count,benign_verdict_count,uncertain_count,uncertain_rate,precision,recall,f1,accuracy,mcc,tp,fp,tn,fn,vulnerable_verdict_precision,benign_verdict_precision,ranker_topk_precision,llm_filtered_precision,precision_gain_over_ranker_topk
bigvul,10,uncertain_as_negative,10,4,2,7,1,0.1,0.5,0.25,0.3333,0.6,0.1021,1,1,5,3,0.5,0.5714,0.4,0.5,0.1
bigvul,10,uncertain_excluded,9,4,2,7,1,0.1,0.5,0.25,0.3333,0.5556,0.0598,1,1,4,3,0.5,0.5714,0.4,0.5,0.1
bigvul,30,uncertain_as_negative,30,8,4,20,6,0.2,0.75,0.375,0.5,0.8,0.4287,3,1,21,5,0.75,0.8,0.2667,0.75,0.4833
bigvul,30,uncertain_excluded,24,8,4,20,6,0.2,0.75,0.4286,0.5455,0.7917,0.451,3,1,16,4,0.75,0.8,0.2667,0.75,0.4833
bigvul,50,uncertain_as_negative,50,11,8,33,9,0.18,0.5,0.3636,0.4211,0.78,0.295,4,4,35,7,0.5,0.8182,0.22,0.5,0.28
bigvul,50,uncertain_excluded,41,11,8,33,9,0.18,0.5,0.4,0.4444,0.7561,0.2936,4,4,27,6,0.5,0.8182,0.22,0.5,0.28
