dataset,best_policy,best_f1,best_mcc,best_precision,best_recall,ranker_only_f1,ranker_only_mcc,ranker_only_precision,ranker_only_recall,f1_improvement,mcc_improvement
devign,policy_a,0.5573,0.1708,0.5451,0.5702,0.5573419078242229,0.17079469743714445,0.5450733752620545,0.5701754385964912,-4.190782422286432e-05,5.302562855552528e-06
bigvul,policy_a,0.2044,0.1509,0.1728,0.25,0.2,0.14510170945675444,0.1595744680851064,0.26785714285714285,0.004399999999999987,0.005798290543245571
diversevul,policy_a,0.2609,0.213,0.2019,0.3684,0.25925925925925924,0.21126419303594438,0.2,0.3684210526315789,0.001640740740740776,0.0017358069640556195
