dataset,k,uncertain_setting,candidate_count,positives_in_topk,vulnerable_verdict_count,benign_verdict_count,uncertain_count,uncertain_rate,precision,recall,f1,accuracy,mcc,tp,fp,tn,fn,vulnerable_verdict_precision,benign_verdict_precision,ranker_topk_precision,llm_filtered_precision,precision_gain_over_ranker_topk
diversevul,10,uncertain_as_negative,10,2,1,5,4,0.4,0.0,0.0,0.0,0.7,-0.1667,0,1,7,2,0.0,0.6,0.2,0.0,-0.2
diversevul,10,uncertain_excluded,6,2,1,5,4,0.4,0.0,0.0,0.0,0.5,-0.3162,0,1,3,2,0.0,0.6,0.2,0.0,-0.2
diversevul,30,uncertain_as_negative,30,5,4,19,7,0.2333,0.25,0.2,0.2222,0.7667,0.0877,1,3,22,4,0.25,0.7895,0.1667,0.25,0.0833
diversevul,30,uncertain_excluded,23,5,4,19,7,0.2333,0.25,0.2,0.2222,0.6957,0.0363,1,3,15,4,0.25,0.7895,0.1667,0.25,0.0833
diversevul,50,uncertain_as_negative,50,11,7,31,12,0.24,0.4286,0.2727,0.3333,0.76,0.2031,3,4,35,8,0.4286,0.7742,0.22,0.4286,0.2086
diversevul,50,uncertain_excluded,38,11,7,31,12,0.24,0.4286,0.3,0.3529,0.7105,0.1785,3,4,24,7,0.4286,0.7742,0.22,0.4286,0.2086
