dataset,k,uncertain_setting,candidate_count,positives_in_topk,vulnerable_verdict_count,benign_verdict_count,uncertain_count,uncertain_rate,precision,recall,f1,accuracy,mcc,tp,fp,tn,fn,vulnerable_verdict_precision,benign_verdict_precision,ranker_topk_precision,llm_filtered_precision,precision_gain_over_ranker_topk
devign,10,uncertain_as_negative,10,8,3,6,1,0.1,1.0,0.375,0.5455,0.5,0.3273,3,0,2,5,1.0,0.1667,0.8,1.0,0.2
devign,10,uncertain_excluded,9,8,3,6,1,0.1,1.0,0.375,0.5455,0.4444,0.25,3,0,1,5,1.0,0.1667,0.8,1.0,0.2
devign,30,uncertain_as_negative,30,21,8,17,5,0.1667,0.5,0.1905,0.2759,0.3,-0.2632,4,4,5,17,0.5,0.1765,0.7,0.5,-0.2
devign,30,uncertain_excluded,25,21,8,17,5,0.1667,0.5,0.2222,0.3077,0.28,-0.3361,4,4,3,14,0.5,0.1765,0.7,0.5,-0.2
devign,50,uncertain_as_negative,50,32,14,23,13,0.26,0.5714,0.25,0.3478,0.4,-0.0891,8,6,12,24,0.5714,0.2609,0.64,0.5714,-0.0686
devign,50,uncertain_excluded,37,32,14,23,13,0.26,0.5714,0.32,0.4103,0.3784,-0.1737,8,6,6,17,0.5714,0.2609,0.64,0.5714,-0.0686
